time;V(/in);V(/out);
3,6428e-11;0;1,8;
3,6528e-11;0;1,8;
3,6628e-11;0;1,8;
3,6728e-11;0;1,8;
3,6828e-11;0;1,8;
3,6928e-11;0;1,8;
3,7028e-11;0;1,8;
3,7128e-11;0;1,8;
3,7228e-11;0;1,8;
3,7328e-11;0;1,8;
3,7428e-11;0;1,8;
3,7528e-11;0;1,8;
3,7628e-11;0;1,8;
3,7728e-11;0;1,8;
3,7828e-11;0;1,8;
3,7928e-11;0;1,8;
3,8028e-11;0;1,8;
3,8128e-11;0;1,8;
3,8228e-11;0;1,8;
3,8328e-11;0;1,8;
3,8428e-11;0;1,8;
3,8528e-11;0;1,8;
3,8628e-11;0;1,8;
3,8728e-11;0;1,8;
3,8828e-11;0;1,8;
3,8928e-11;0;1,8;
3,9028e-11;0;1,8;
3,9128e-11;0;1,8;
3,9228e-11;0;1,8;
3,9328e-11;0;1,8;
3,9428e-11;0;1,8;
3,9528e-11;0;1,8;
3,9628e-11;0;1,8;
3,9728e-11;0;1,8;
3,9828e-11;0;1,8;
3,9928e-11;0;1,8;
4,0028e-11;0;1,8;
4,0128e-11;0;1,8;
4,0228e-11;0;1,8;
4,0328e-11;0;1,8;
4,0428e-11;0;1,8;
4,0528e-11;0;1,8;
4,0628e-11;0;1,8;
4,0728e-11;0;1,8;
4,0828e-11;0;1,8;
4,0928e-11;0;1,8;
4,1028e-11;0;1,8;
4,1128e-11;0;1,8;
4,1228e-11;0;1,8;
4,1328e-11;0;1,8;
4,1428e-11;0;1,8;
4,1528e-11;0;1,8;
4,1628e-11;0;1,8;
4,1728e-11;0;1,8;
4,1828e-11;0;1,8;
4,1928e-11;0;1,8;
4,2028e-11;0;1,8;
4,2128e-11;0;1,8;
4,2228e-11;0;1,8;
4,2328e-11;0;1,8;
4,2428e-11;0;1,8;
4,2528e-11;0;1,8;
4,2628e-11;0;1,8;
4,2728e-11;0;1,8;
4,2828e-11;0;1,8;
4,2928e-11;0;1,8;
4,3028e-11;0;1,8;
4,3128e-11;0;1,8;
4,3228e-11;0;1,8;
4,3328e-11;0;1,8;
4,3428e-11;0;1,8;
4,3528e-11;0;1,8;
4,3628e-11;0;1,8;
4,3728e-11;0;1,8;
4,3828e-11;0;1,8;
4,3928e-11;0;1,8;
4,4028e-11;0;1,8;
4,4128e-11;0;1,8;
4,4228e-11;0;1,8;
4,4328e-11;0;1,8;
4,4428e-11;0;1,8;
4,4528e-11;0;1,8;
4,4628e-11;0;1,8;
4,4728e-11;0;1,8;
4,4828e-11;0;1,8;
4,4928e-11;0;1,8;
4,5028e-11;0;1,8;
4,5128e-11;0;1,8;
4,5228e-11;0;1,8;
4,5328e-11;0;1,8;
4,5428e-11;0;1,8;
4,5528e-11;0;1,8;
4,5628e-11;0;1,8;
4,5728e-11;0;1,8;
4,5828e-11;0;1,8;
4,5928e-11;0;1,8;
4,6028e-11;0;1,8;
4,6128e-11;0;1,8;
4,6228e-11;0;1,8;
4,6328e-11;0;1,8;
4,6428e-11;0;1,8;
4,6528e-11;0;1,8;
4,6628e-11;0;1,8;
4,6728e-11;0;1,8;
4,6828e-11;0;1,8;
4,6928e-11;0;1,8;
4,7028e-11;0;1,8;
4,7128e-11;0;1,8;
4,7228e-11;0;1,8;
4,7328e-11;0;1,8;
4,7428e-11;0;1,8;
4,7528e-11;0;1,8;
4,7628e-11;0;1,8;
4,7728e-11;0;1,8;
4,7828e-11;0;1,8;
4,7928e-11;0;1,8;
4,8028e-11;0;1,8;
4,8128e-11;0;1,8;
4,8228e-11;0;1,8;
4,8328e-11;0;1,8;
4,8428e-11;0;1,8;
4,8528e-11;0;1,8;
4,8628e-11;0;1,8;
4,8728e-11;0;1,8;
4,8828e-11;0;1,8;
4,8928e-11;0;1,8;
4,9028e-11;0;1,8;
4,9128e-11;0;1,8;
